repo,dataset,vanilla_seconds,transparent_seconds,sloc
AnotherRedisDesktopManager,fnr,7,15,54804
aim,fnr,13,27,193137
anything-llm,fnr,7,14,30247
bigbluebutton,fnr,15,41,522496
bootstrap-vue,fnr,7,13,32796
components,fnr,15,33,204120
fiction,fnr,24,129,107963
gocron,fnr,5,12,8804
grafana,fnr,34,101,1353553
lina,fnr,7,15,64981
lock,fnr,9,22,59613
matrix-react-sdk,fnr,18,51,353273
querybook,fnr,10,21,115677
react-bootstrap-table,fnr,7,17,32491
react-draft-wysiwyg,fnr,11,30,32064
translate-man,fnr,6,10,14518
webiny-js,fnr,21,58,416897
woodpecker,fnr,5,12,1028157
zenuml-core,fnr,7,13,70302
Bilibili-Evolved,fdr,12,42,96719
Keen-UI,fdr,10,27,126081
alaweb,fdr,7,12,39699
apostrophe,fdr,10,23,112827
batchiepatchie,fdr,7,11,8039
bootstrap-vue,fdr,10,22,194452
design-system-react,fdr,11,23,153424
iview,fdr,11,21,78120
marketplace-demo,fdr,7,12,24141
mriviewer,fdr,7,15,76511
ng2-markdown,fdr,5,12,150
nylas-mail,fdr,12,27,153517
quix,fdr,11,27,146058
survey-library,fdr,64,6955,282189
vssue,fdr,7,13,18229
vue-admin,fdr,6,13,24422
vue-markdown,fdr,7,17,16321
vue-tailwind,fdr,7,14,22080
we-vue,fdr,7,14,32484
webpack2,fdr,7,15,7190
